Source Name,Mention Count
ghanaweb.com,3542
modernghana.com,1681
ghanavisions.com,737
myjoyonline.com,686
businessghana.com,641
graphic.com.gh,526
xinhuanet.com,462
ghananewsagency.org,457
citifmonline.com,413
goldcoastbulletin.com.au,363
peacefmonline.com,355
newsghana.com.gh,354
pulse.com.gh,315
ghanastar.com,311
starrfmonline.com,311
allafrica.com,283
gbcghana.com,265
ghanamma.com,225
chinadaily.com.cn,220
china.org.cn,213
ghanaiantimes.com.gh,181
fmprc.gov.cn,154
yen.com.gh,135
yahoo.com,103
thebftonline.com,95
couriermail.com.au,95
ecns.cn,93
reuters.com,81
spyghana.com,81
thechronicle.com.gh,76
thestatesmanonline.com,72
dailyguideafrica.com,71
primenewsghana.com,71
sina.com,68
theheraldghana.com,64
en.people.cn,62
en.ce.cn,62
dailytelegraph.com.au,61
4-traders.com,60
allghananews.com,60
africaleader.com,55
globaltimes.cn,55
ghana.gov.gh,54
defenceweb.co.za,53
businessdayghana.com,51
heraldsun.com.au,49
brisbanetimes.com.au,49
msn.com,48
dailymail.co.uk,46
dailyguideghana.com,46
theage.com.au,46
people.com.cn,44
tvguide.co.uk,42
peopledaily.com.cn,39
smh.com.au,39
coastweek.com,37
goal.com,37
abc.net.au,36
bjreview.com,36
undercurrentnews.com,35
vibeghana.com,33
perthnow.com.au,31
howafrica.com,29
en.gmw.cn,28
foreignaffairs.co.nz,28
pulse.ng,28
3news.com,27
news.com.au,26
afr.com,25
theghanaianjournal.com,25
asokoinsight.com,25
themarketghana.com,24
theaustralian.com.au,23
wantchinatimes.com,22
shanghaidaily.com,22
poandpo.com,22
nzherald.co.nz,21
globalpost.com,21
theadvocate.com.au,21
miningweekly.com,21
stockandland.com.au,21
northweststar.com.au,20
footprint2africa.com,20
mandurahmail.com.au,20
rnanews.com,20
murrayvalleystandard.com.au,19
thenewsnigeria.com.ng,19
watoday.com.au,19
dailyexaminer.com.au,19
journalducameroun.com,18
dailyviewgh.com,18
thechronicle.com.au,18
farsnews.com,18
northernstar.com.au,18
biztechafrica.com,18
happyghana.com,18
bordermail.com.au,18
portnews.com.au,17
tweeddailynews.com.au,17
redlandcitybulletin.com.au,17
cgtn.com,17
theherald.com.au,17
24heures.ch,17
seneweb.com,17
stawelltimes.com.au,17
armidaleexpress.com.au,17
ghanabusinessnews.com,17
mining-technology.com,17
lakesmail.com.au,16
westernadvocate.com.au,16
canberratimes.com.au,16
naija247news.com,16
proactiveinvestors.co.uk,16
thediplomat.com,15
sunshinecoastdaily.com.au,15
illawarramercury.com.au,15
centralwesterndaily.com.au,15
victorharbortimes.com.au,15
BBC Monitoring,15
examiner.com.au,15
portlincolntimes.com.au,14
frontpageafricaonline.com,14
bjreview.com.cn,14
begadistrictnews.com.au,14
areanews.com.au,14
standard.net.au,14
nan.ng,14
redcityofficial.co.uk,14
plenglish.com,14
mudgeeguardian.com.au,14
newsbreakonline.com,14
globalcement.com,14
ghanavibes.com,14
themorningbulletin.com.au,13
goulburnpost.com.au,13
araratadvertiser.com.au,13
mailtimes.com.au,13
9news.com.au,13
womenofchina.cn,13
maitlandmercury.com.au,13
dredgingtoday.com,13
manningrivertimes.com.au,13
theguardian.com,13
northerndailyleader.com.au,13
inverelltimes.com.au,13
dailymercury.com.au,12
bunburymail.com.au,12
sbrchina.com,12
southcoastregister.com.au,12
warwickdailynews.com.au,12
themercury.com.au,12
myarkfmonline.com,12
businessworldghana.com,12
dailyliberal.com.au,12
gympietimes.com.au,12
iol.co.za,12
africanreview.com,11
blogspot.com,11
chinamil.com.cn,11
pambazuka.org,11
radioaustralia.net.au,11
qt.com.au,11
macarthuradvertiser.com.au,11
indiatimes.com,11
cowraguardian.com.au,11
africajournalismtheworld.com,11
news-mail.com.au,10
forbesadvocate.com.au,10
worldcrunch.com,10
bendigoadvertiser.com.au,10
chinanationalnews.com,10
lithgowmercury.com.au,10
jschina.com.cn,10
eastday.com,10
thecourier.com.au,10
devex.com,10
dailyadvertiser.com.au,10
southernhighlandnews.com.au,10
nigeriatoday.ng,10
sbs.com.au,10
theepochtimes.com,10
interfaxenergy.com,10
proshareng.com,10
investingnews.com,10
business-standard.com,10
thestar.com.my,10
bbc.com,10
coomaexpress.com.au,9
propertyobserver.com.au,9
africanewsanalysis.com,9
gippslandtimes.com.au,9
freemalaysiatoday.com,9
borderwatch.com.au,9
frasercoastchronicle.com.au,9
afropages.fr,9
omgvoice.com,9
scmp.com,9
gannawarratimes.com.au,9
cameroon-tribune.cm,9
sunraysiadaily.com.au,9
afl.com.au,9
greatlakesadvocate.com.au,9
africa-newsroom.com,9
kasapafmonline.com,9
afropop.org,9
mirror.co.uk,9
coffscoastadvocate.com.au,9
enewsgh.com,8
nvi.com.au,8
theafricareport.com,8
dailykos.com,8
aluminiuminsider.com,8
liverpoolchampion.com.au,8
variety.com,8
centraltelegraph.com.au,8
blayneychronicle.com.au,8
thenational.ae,8
farmlandgrab.org,8
colliemail.com.au,8
euractiv.com,8
northqueenslandregister.com.au,8
africanews.com,8
nambuccaguardian.com.au,8
suunews.com,8
thestandard.com.hk,8
eyretribune.com.au,8
wollondillyadvertiser.com.au,8
euronews.com,8
adelaidenow.com.au,8
westernmagazine.com.au,8
winghamchronicle.com.au,8
greeleytribune.com,8
swissinfo.ch,8
guyraargus.com.au,8
nynganobserver.com.au,8
prnewswire.co.uk,8
tenterfieldstar.com.au,8
hellenicshippingnews.com,7
channelnewsasia.com,7
batemansbaypost.com.au,7
thisdaylive.com,7
noosanews.com.au,7
nikkei.com,7
financialtribune.com,7
newsday.co.tt,7
australiaforum.com,7
traveldailynews.asia,7
bignewsnetwork.com,7
beijingbulletin.com,7
byronnews.com.au,7
enca.com,7
french.cri.cn,7
starafrica.com,7
chinadigitaltimes.net,7
echonews.com.au,7
kiamaindependent.com.au,7
tribtown.com,7
macleayargus.com.au,7
katherinetimes.com.au,7
qz.com,7
gattonstar.com.au,7
africatime.com,7
tanzanianewsreports.com,7
mygc.com.au,7
dungogchronicle.com.au,7
greenfieldreporter.com,7
hydrocarbons-technology.com,7
asianews.network,7
marketwatch.com,7
ibtimes.co.uk,7
herald.co.zw,6
humanitariannews.org,6
beijingreview.com.cn,6
northernargus.com.au,6
moreechampion.com.au,6
boorowanewsonline.com.au,6
railway-technology.com,6
trust.org,6
wjct.org,6
businessdayonline.com,6
portstephensexaminer.com.au,6
france24.com,6
hepburnadvocate.com.au,6
arcinfo.ch,6
therural.com.au,6
focac.org,6
whyallanewsonline.com.au,6
hawkesburygazette.com.au,6
crookwellgazette.com.au,6
apanews.net,6
queanbeyanage.com.au,6
theleader.com.au,6
realestate.com.au,6
times-news.com,6
english.cri.cn,6
braidwoodtimes.com.au,6
oberonreview.com.au,6
theflindersnews.com.au,6
go.com,6
t-online.de,6
wam.ae,6
nypost.com,6
wellingtontimes.com.au,6
newsdaily.com,6
theislanderonline.com.au,6
naracoorteherald.com.au,6
yasstribune.com.au,6
finanznachrichten.de,6
bulawayo24.com,6
ssuchronicle.com,6
parkeschampionpost.com.au,6
